sample_id,collection_date,farmer_id,batch_number,lab_technician,weather_condition,truck_number,collection_shift,pH,pH_duplicate,turbidity_ntu,turbidity_log,temperature_c,ammonia_content,color_score,vfa,drc,grade
LAT_00001,8/5/2023,F014,BATCH_2353,TECH_04,Sunny,WP_3598,Morning,5.902,5.9015,112.84,4.726,28.92,0.157,5,0.073,60.33,B
LAT_00002,6/13/2022,F015,BATCH_1875,TECH_03,Cloudy,WP_5941,Morning,6.066,6.0694,88.12,4.4787,30.63,0.204,4,0.061,58.57,B
LAT_00003,8/29/2022,F014,BATCH_2440,TECH_04,Windy,WP_3926,Morning,6.677,6.6778,63.61,4.1528,30.09,0.229,3,0.036,58.18,A
LAT_00004,3/1/2023,F011,BATCH_6003,TECH_07,Rainy,WP_2162,Morning,5.463,5.4701,131.31,4.8776,30.19,0.122,5,0.094,56.64,C
LAT_00005,3/3/2026,F001,BATCH_2441,TECH_06,Windy,WP_6937,Morning,5.904,5.9036,107.59,4.6783,28.32,0.171,5,0.071,57.25,B
LAT_00006,5/26/2025,F014,BATCH_9429,TECH_02,Windy,WP_6974,Morning,5.808,5.8091,,,29.42,0.187,4,0.068,59.3,B
LAT_00007,10/4/2022,F027,BATCH_4126,TECH_05,Sunny,WP_7826,Morning,5.635,5.6342,134.09,4.8985,32.61,0.156,5,0.085,55.04,C
LAT_00008,3/10/2025,F003,BATCH_3930,TECH_07,Rainy,WP_7474,Morning,6.083,6.084,89.48,4.494,32.16,0.172,3,0.06,56.71,B
LAT_00009,5/29/2022,F010,BATCH_8973,TECH_02,Rainy,WP_8645,Morning,6.335,6.335,76.01,4.3309,30.65,0.205,3,0.051,58.98,B
LAT_00010,9/12/2024,F022,BATCH_6234,TECH_05,Windy,WP_3264,Morning,6.443,6.4445,64.95,4.1736,31.68,0.192,3,0.042,59.21,A
LAT_00011,7/5/2023,F020,BATCH_6588,TECH_04,Rainy,WP_9798,Morning,5.746,5.7483,116.34,4.7565,28.61,0.156,5,0.077,59.1,B
LAT_00012,3/14/2022,F006,BATCH_5165,TECH_06,Sunny,WP_3561,Morning,5.445,5.4425,145.09,4.9774,30.68,0.144,5,0.094,55.76,C
LAT_00013,1/20/2024,F001,BATCH_3499,TECH_01,Cloudy,WP_2036,Morning,5.414,5.4161,142.84,4.9617,29.39,0.137,5,0.096,55.33,C
LAT_00014,7/26/2024,F016,BATCH_9961,TECH_07,Cloudy,WP_7032,Morning,5.456,5.4579,134.91,4.9046,30.07,0.141,4,0.094,56.34,C
LAT_00015,8/12/2022,F006,BATCH_5888,TECH_01,Cloudy,WP_7743,Morning,6.234,6.2374,87.74,4.4744,29.95,0.185,3,0.057,56.45,B
LAT_00016,7/8/2022,F029,BATCH_4008,TECH_07,Cloudy,WP_2326,Morning,5.814,5.8125,116.95,4.7617,31.65,0.174,5,0.077,58.12,B
LAT_00017,9/24/2022,F012,BATCH_8933,TECH_05,Windy,WP_4178,Morning,5.639,5.6383,116.13,4.7547,28.98,0.174,5,0.078,60.4,B
LAT_00018,8/21/2022,F005,BATCH_5119,TECH_05,Rainy,WP_2158,Morning,6.003,6.0018,101.29,4.618,29.56,0.163,4,0.068,56.88,B
LAT_00019,4/8/2022,F024,BATCH_7073,TECH_02,Rainy,WP_4009,Morning,5.787,5.7864,108.36,4.6855,29.1,0.177,4,0.072,57.88,B
LAT_00020,10/7/2025,F016,BATCH_1376,TECH_04,Cloudy,WP_6745,Afternoon,6.763,6.7676,47.34,3.8574,29.08,0.238,3,0.027,60.34,A
LAT_00021,9/30/2022,F009,BATCH_8012,TECH_03,Sunny,WP_7323,Morning,5.353,5.3507,137.57,4.9241,28.96,0.14,5,0.091,55.46,C
LAT_00022,7/7/2024,F025,BATCH_9174,TECH_01,Rainy,WP_5845,Morning,6.207,6.2032,77.66,4.3523,32.06,0.194,3,0.052,58.62,B
LAT_00023,7/23/2025,F014,BATCH_4026,TECH_03,Rainy,WP_1398,Afternoon,5.89,5.8924,105.43,4.658,31.88,0.191,4,0.068,56.29,B
LAT_00024,7/16/2025,F006,BATCH_3506,TECH_06,Cloudy,WP_4104,Morning,6.192,6.1957,82.13,4.4083,30.69,0.18,4,0.051,58.67,B
LAT_00025,3/26/2024,F009,BATCH_1574,TECH_02,Rainy,WP_6472,Morning,6.436,6.4351,77.34,4.3482,30.47,0.203,3,0.047,59.08,A
LAT_00026,6/1/2024,F012,BATCH_1892,TECH_04,Sunny,WP_1028,Morning,6.47,6.4691,64.52,4.167,29.37,0.229,3,0.043,59.35,A
LAT_00027,5/17/2022,F003,BATCH_7899,TECH_06,Windy,WP_6452,Morning,5.935,5.9354,102.52,4.6301,28.55,0.184,4,0.07,56.54,B
LAT_00028,5/25/2024,F001,BATCH_4190,TECH_05,Cloudy,WP_3957,Morning,5.741,5.7398,112.84,4.726,30.26,0.156,4,0.075,59.2,B
LAT_00029,3/7/2022,F009,BATCH_1824,TECH_04,Sunny,WP_2218,Morning,5.708,5.7134,124.66,4.8256,29.36,0.161,5,0.081,56.72,C
LAT_00030,8/23/2025,F011,BATCH_8236,TECH_05,Sunny,WP_6861,Morning,5.761,5.7642,112.38,4.7219,28.52,0.173,4,0.073,56.13,B
LAT_00031,9/24/2025,F012,BATCH_6819,TECH_03,Rainy,WP_1314,Morning,5.509,5.5088,139.12,4.9353,28.55,0.153,5,0.09,58.16,C
LAT_00032,9/24/2022,F009,BATCH_6852,TECH_06,Windy,WP_5453,Morning,6.697,6.6996,60.41,4.1012,31.15,0.243,2,0.034,59.85,A
LAT_00033,7/13/2022,F009,BATCH_9752,TECH_04,Sunny,WP_4819,Morning,6.847,6.8465,44.71,3.8002,29.63,0.242,2,0.024,60.43,A
LAT_00034,4/27/2022,F022,BATCH_8209,TECH_01,Windy,WP_5482,Morning,5.952,5.9519,99.5,4.6002,30.8,0.169,4,0.067,58.53,B
LAT_00035,11/8/2024,F028,BATCH_3494,TECH_04,Rainy,WP_3590,Morning,5.715,5.7138,119.36,4.7821,28.05,0.169,5,0.081,56.07,C
LAT_00036,2/1/2026,F020,BATCH_7814,TECH_02,Rainy,WP_9682,Morning,5.918,5.9173,97.48,4.5796,30.24,0.183,4,0.063,57.45,B
LAT_00037,4/16/2026,F007,BATCH_3156,TECH_07,Rainy,WP_7991,Morning,5.5,5.4954,137.62,4.9245,30.96,0.138,5,0.09,58,C
LAT_00038,6/8/2023,F022,BATCH_5240,TECH_03,Sunny,WP_7728,Afternoon,6.29,6.2884,83.3,4.4224,29.32,0.206,3,0.053,57.37,B
LAT_00039,12/15/2024,F012,BATCH_7443,TECH_04,Windy,WP_2502,Morning,6.761,6.7645,41.04,3.7145,27.38,0.228,2,0.023,60.03,A
LAT_00040,7/20/2024,F017,BATCH_7452,TECH_05,Rainy,WP_7374,Morning,6.449,6.4475,70.35,4.2535,31.27,0.208,3,0.044,59.1,A
LAT_00041,12/12/2024,F025,BATCH_9767,TECH_02,Sunny,WP_5896,Morning,5.826,5.8233,113.43,4.7312,30.62,0.183,4,0.071,58.32,B
LAT_00042,4/26/2023,F008,BATCH_1245,TECH_01,Cloudy,WP_1122,Morning,5.599,5.5998,123.95,4.8199,32.49,0.149,5,0.083,58.08,C
LAT_00043,9/28/2024,F027,BATCH_6610,TECH_03,Cloudy,WP_6557,Morning,6.848,6.8471,48.02,3.8716,30.18,0.271,2,0.027,58.94,A
LAT_00044,1/21/2025,F025,BATCH_1059,TECH_02,Windy,WP_8314,Morning,5.313,5.3135,142.77,4.9612,29.34,0.141,5,0.097,57.36,C
LAT_00045,10/14/2024,F019,BATCH_8046,TECH_03,Windy,WP_5147,Morning,6.544,6.5453,65.35,4.1798,29.22,0.223,3,0.039,58.79,A
LAT_00046,9/30/2022,F021,BATCH_6751,TECH_01,Windy,WP_9314,Morning,6.475,6.4771,62.93,4.142,31.89,0.221,3,0.041,60.9,A
LAT_00047,1/10/2022,F016,BATCH_6050,TECH_06,Windy,WP_6384,Morning,6.877,6.8755,38.59,3.653,27.96,0.254,2,0.023,60.38,A
LAT_00048,3/8/2025,F029,BATCH_6250,TECH_03,Cloudy,WP_9737,Morning,5.704,5.7026,115.5,4.7493,31.21,0.166,4,0.077,58.14,B
LAT_00049,9/28/2025,F007,BATCH_9379,TECH_05,Cloudy,WP_2932,Morning,6.849,6.8513,40.2,3.6939,31.9,0.236,2,0.024,58.61,A
LAT_00050,8/30/2025,F003,BATCH_5132,TECH_05,Sunny,WP_4727,Morning,5.909,5.9087,104.15,4.6458,28.13,0.199,4,0.064,57.55,B
LAT_00051,5/3/2025,F030,BATCH_8205,TECH_05,Sunny,WP_3224,Morning,6.731,6.7302,40.7,3.7062,31.92,0.225,3,0.028,59,A
LAT_00052,3/11/2025,F023,BATCH_1133,TECH_04,Sunny,WP_2340,Morning,6.674,6.6722,52.24,3.9558,29.71,0.223,3,0.032,60.23,A
LAT_00053,6/5/2023,F001,BATCH_1520,TECH_04,Windy,WP_2849,Morning,5.93,5.9278,90.55,4.5059,28.6,0.196,4,0.067,58.23,B
LAT_00054,3/14/2025,F025,BATCH_3033,TECH_02,Windy,WP_2018,Morning,5.65,5.6492,121.69,4.8015,28.25,0.153,4,0.084,55.9,C
LAT_00055,3/10/2026,F023,BATCH_4499,TECH_07,Rainy,WP_3594,Morning,6.858,6.8582,39.46,3.6753,27.79,0.229,2,0.024,60.86,A
LAT_00056,9/12/2022,F008,BATCH_4798,TECH_02,Windy,WP_7564,Morning,6.383,6.3801,65.56,4.183,31.31,0.219,3,0.041,61.04,A
LAT_00057,4/8/2023,F002,BATCH_5033,TECH_05,Cloudy,WP_4843,Morning,5.656,5.6537,127.83,4.8507,32.46,0.159,5,0.084,57.63,C
LAT_00058,2/6/2023,F029,BATCH_1319,TECH_06,Sunny,WP_4999,Afternoon,6.135,6.1376,88.15,4.479,32.39,0.175,4,0.055,59.03,B
LAT_00059,5/31/2024,F027,BATCH_2424,TECH_01,Cloudy,WP_8991,Morning,5.381,5.382,138.13,4.9282,31.24,0.142,5,0.094,56.46,C
LAT_00060,9/5/2024,F017,BATCH_7916,TECH_05,Cloudy,WP_8431,Morning,5.662,5.6623,115.34,4.7479,30.05,0.151,5,0.082,57.34,C
LAT_00061,9/7/2023,F024,BATCH_3832,TECH_02,Rainy,WP_4997,Morning,5.771,5.7693,127.78,4.8503,29.94,0.176,5,0.085,55.31,C
LAT_00062,12/5/2023,F013,BATCH_5273,TECH_03,Windy,WP_3696,Morning,5.685,5.6885,129.46,4.8634,29.97,0.157,5,0.086,57.87,C
LAT_00063,2/8/2024,F029,BATCH_3463,TECH_07,Windy,WP_5982,Afternoon,5.95,5.9495,105.26,4.6564,31.24,0.199,3,0.065,57.88,B
LAT_00064,8/9/2022,F024,BATCH_4892,TECH_06,Cloudy,WP_5610,Morning,6.446,6.4488,65.92,4.1884,30.51,0.211,3,0.039,61.29,A
LAT_00065,7/6/2022,F014,BATCH_7236,TECH_04,Windy,WP_3867,Morning,6.394,6.3935,71.67,4.2721,27.71,0.21,3,0.045,58.06,A
LAT_00066,8/10/2025,F004,BATCH_7898,TECH_03,Windy,WP_3085,Morning,6.02,6.0207,97.68,4.5817,27.72,0.184,4,0.064,56.74,B
LAT_00067,9/13/2024,F007,BATCH_7374,TECH_05,Cloudy,WP_2575,Morning,6.114,6.1117,87.92,4.4764,30.88,0.193,3,0.056,57.44,B
LAT_00068,5/18/2025,F006,BATCH_4641,TECH_06,Rainy,WP_4246,Morning,6.3,6.2971,79.84,4.38,32.17,0.201,4,0.05,59.12,B
LAT_00069,7/25/2023,F009,BATCH_5524,TECH_07,Sunny,WP_1836,Morning,5.305,5.3054,140.2,4.9431,28.22,0.134,5,0.095,58.26,C
LAT_00070,3/21/2022,F019,BATCH_5628,TECH_03,Windy,WP_2322,Morning,6.809,6.809,46.07,3.8302,30.97,0.236,2,0.025,59.98,A
LAT_00071,11/28/2025,F022,BATCH_7334,TECH_05,Windy,WP_8784,Morning,5.704,5.7046,123.16,4.8135,27.83,0.167,5,0.084,57.14,C
LAT_00072,2/28/2022,F024,BATCH_2818,TECH_01,Cloudy,WP_3146,Morning,5.675,5.6745,121.11,4.7967,30.34,0.163,5,0.077,57.71,B
LAT_00073,2/4/2022,F029,BATCH_1495,TECH_05,Cloudy,WP_5651,Morning,6.573,6.5736,53.74,3.9842,31.52,0.222,2,0.036,58.42,A
LAT_00074,7/3/2024,F017,BATCH_1058,TECH_05,Rainy,WP_1215,Morning,6.75,6.7498,39.24,3.6697,27.49,0.237,2,0.024,58.28,A
LAT_00075,6/5/2022,F011,BATCH_9884,TECH_02,Windy,WP_8465,Morning,6.164,6.1649,89.82,4.4978,28.55,0.186,3,0.057,60.15,B
LAT_00076,5/12/2024,F018,BATCH_5639,TECH_05,Windy,WP_3515,Morning,5.348,5.3498,139.29,4.9366,31.97,0.135,5,0.096,56.06,C
LAT_00077,9/3/2024,F014,BATCH_1330,TECH_02,Cloudy,WP_3639,Morning,5.438,5.4422,141.02,4.9489,32,0.14,5,0.09,55.32,C
LAT_00078,1/16/2023,F030,BATCH_8745,TECH_01,Rainy,WP_7672,Morning,6.077,6.078,97.69,4.5818,28.05,0.193,4,0.064,60.36,B
LAT_00079,10/13/2024,F021,BATCH_1435,TECH_01,Rainy,WP_5555,Morning,6.46,6.4586,68.23,4.2229,30.66,0.227,3,0.041,59.74,A
LAT_00080,9/8/2024,F013,BATCH_3850,TECH_04,Cloudy,WP_7968,Morning,6.516,6.5164,58.76,4.0735,27.63,0.222,3,0.036,60.96,A
LAT_00081,9/28/2024,F030,BATCH_3584,TECH_07,Rainy,WP_5726,Afternoon,6.305,6.3032,78.87,4.3678,28,0.199,3,0.049,60.6,A
LAT_00082,7/13/2023,F017,BATCH_7000,TECH_04,Windy,WP_2568,Morning,5.598,5.5973,132.13,4.8838,31.79,0.139,5,0.087,57.68,C
