farmer_id,farmer_name,experience,district,land_size,tree_count,date,season,tapping_hour,tapping_minute,tapping_time,collection_gap_hours,storage_duration_hours,latex_quantity_kg,ammonia_added,ammonia_amount_ml,container_type,temperature_c,humidity_percent,rainfall_mm,vfa_value,drc_value,quality_grade
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-01,dry,6,35,6:35,2.7,2.1,7.0,False,0.0,Closed Container,29.1,72.6,18.6,0.0516,38.02,Grade 3
F008,Farmer H,moderate,Galle,2.5,180,2024-01-01,dry,7,48,7:48,3.0,3.6,5.4,True,6.4,Closed Container,30.1,61.5,9.3,0.0435,36.73,Grade 2
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-01,dry,6,36,6:36,3.0,3.5,7.8,True,9.4,Closed Container,28.6,72.0,25.3,0.0301,35.06,Grade 2
F004,Farmer D,expert,Galle,3.5,250,2024-01-02,dry,4,19,4:19,2.4,3.4,5.1,True,5.8,Closed Container,30.7,69.5,26.2,0.0303,39.68,Grade 2
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-02,dry,8,23,8:23,5.6,10.9,6.8,False,0.0,Closed Container,29.1,64.2,14.4,0.12,32.6,Rejected
F005,Farmer E,moderate,Kalutara,2.0,150,2024-01-02,dry,6,57,6:57,3.0,2.2,3.4,False,0.0,Closed Container,29.1,70.4,13.2,0.0585,37.33,Grade 3
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-02,dry,9,7,9:07,3.3,7.4,2.1,False,0.0,Open Container,28.3,71.2,6.1,0.1155,31.12,Rejected
F002,Farmer B,moderate,Kegalle,3.0,200,2024-01-02,dry,7,41,7:41,2.9,5.4,5.0,True,8.9,Closed Container,29.6,69.1,22.7,0.0527,36.9,Grade 3
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-02,dry,4,26,4:26,3.0,2.4,3.1,True,8.3,Closed Container,31.1,60.3,6.5,0.0262,37.27,Grade 1
F008,Farmer H,moderate,Galle,2.5,180,2024-01-02,dry,5,4,5:04,3.9,4.5,3.9,True,6.0,Closed Container,30.2,64.2,9.1,0.049,36.01,Grade 2
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-02,dry,7,48,7:48,3.7,4.6,1.1,False,0.0,Closed Container,29.7,69.9,21.6,0.0777,34.28,Grade 3
F004,Farmer D,expert,Galle,3.5,250,2024-01-02,dry,4,1,4:01,2.2,3.4,6.2,True,7.3,Closed Container,29.6,67.6,12.6,0.0273,37.24,Grade 1
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-02,dry,6,34,6:34,2.4,3.6,5.4,False,0.0,Closed Container,28.8,63.1,7.7,0.0512,37.57,Grade 3
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-03,dry,6,30,6:30,5.3,13.7,2.4,True,7.8,Bucket,29.6,65.5,22.2,0.12,35.24,Rejected
F007,Farmer G,expert,Ratnapura,5.0,400,2024-01-03,dry,6,51,6:51,2.2,3.0,1.8,True,8.9,Bucket,27.7,67.0,29.0,0.0328,36.28,Grade 2
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-03,dry,5,31,5:31,2.2,3.3,6.9,True,3.1,Closed Container,30.5,68.0,8.0,0.0356,38.73,Grade 2
F001,Farmer A,expert,Kalutara,4.5,300,2024-01-03,dry,6,16,6:16,2.8,2.1,5.5,True,8.1,Closed Container,29.1,71.0,14.6,0.0193,37.2,Grade 1
F004,Farmer D,expert,Galle,3.5,250,2024-01-03,dry,6,27,6:27,1.9,1.7,5.7,True,6.5,Bucket,30.4,64.9,4.7,0.0303,36.01,Grade 2
F004,Farmer D,expert,Galle,3.5,250,2024-01-03,dry,6,57,6:57,1.8,1.8,2.0,True,4.9,Bucket,31.4,60.9,2.4,0.0383,35.1,Grade 2
F006,Farmer F,beginner,Kegalle,1.0,80,2024-01-03,dry,7,47,7:47,5.4,7.4,6.1,False,0.0,Bucket,29.1,71.5,21.2,0.1104,33.94,Rejected
F003,Farmer C,beginner,Ratnapura,1.5,100,2024-01-03,dry,9,56,9:56,5.6,4.5,7.8,False,0.0,Open Container,29.3,71.4,1.8,0.1049,31.06,Rejected
