time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),relative_humidity_2m_max (%),relative_humidity_2m_min (%),precipitation_sum (mm),wind_speed_10m_max (km/h),district,year
1/1/2024,27.9,24.0,25.3,97,82,15.5,8.4,Kalutara,2024
1/2/2024,29.0,23.5,26.0,99,76,7.6,13.7,Kalutara,2024
1/3/2024,29.9,23.8,26.4,95,70,2.4,10.7,Kalutara,2024
1/4/2024,30.0,23.3,26.4,97,71,2.6,10.7,Kalutara,2024
1/5/2024,31.0,23.0,26.2,96,66,16.6,11.4,Kalutara,2024
1/6/2024,29.6,22.5,25.7,98,74,1.5,11.4,Kalutara,2024
1/7/2024,28.3,23.4,25.3,97,81,17.8,9.4,Kalutara,2024
1/8/2024,28.2,23.2,25.2,98,77,7.3,6.4,Kalutara,2024
1/9/2024,28.4,23.7,25.5,97,75,6.2,5.9,Kalutara,2024
1/10/2024,27.7,23.6,25.3,98,80,14.6,11.2,Kalutara,2024
1/11/2024,28.8,23.4,25.7,97,79,4.4,10.9,Kalutara,2024
1/12/2024,29.8,23.4,26.2,97,67,0.0,11.6,Kalutara,2024
1/13/2024,31.6,23.1,26.7,95,55,0.5,8.6,Kalutara,2024
1/14/2024,30.0,22.2,26.1,94,66,0.3,11.9,Kalutara,2024
1/15/2024,30.4,21.5,25.6,95,56,0.2,16.3,Kalutara,2024
1/16/2024,29.1,21.7,25.2,94,62,0.0,13.0,Kalutara,2024
1/17/2024,30.2,20.8,25.4,98,59,0.0,14.8,Kalutara,2024
1/18/2024,29.3,23.0,26.1,95,70,1.3,11.3,Kalutara,2024
1/19/2024,29.4,23.6,25.8,97,71,5.3,9.3,Kalutara,2024
1/20/2024,29.0,23.1,25.2,98,75,6.9,10.5,Kalutara,2024
1/21/2024,30.4,22.7,26.5,98,71,0.1,11.8,Kalutara,2024
1/22/2024,30.1,23.2,26.8,96,73,2.1,12.7,Kalutara,2024
1/23/2024,31.7,23.9,27.3,99,56,1.4,17.7,Kalutara,2024
1/24/2024,30.1,23.7,26.4,97,67,0.1,14.0,Kalutara,2024
1/25/2024,30.8,22.0,26.2,94,56,0.0,12.8,Kalutara,2024
1/26/2024,31.0,22.5,26.6,93,56,0.0,14.1,Kalutara,2024
1/27/2024,31.3,23.0,26.8,95,58,0.0,14.8,Kalutara,2024
1/28/2024,30.5,23.3,26.7,93,64,1.0,11.9,Kalutara,2024
1/29/2024,30.4,23.5,26.7,95,67,1.7,11.0,Kalutara,2024
1/30/2024,31.2,23.8,26.4,96,66,32.4,11.8,Kalutara,2024
1/31/2024,30.7,24.0,26.6,96,68,2.1,8.7,Kalutara,2024
2/1/2024,30.5,24.1,26.5,95,68,8.8,12.5,Kalutara,2024
2/2/2024,30.8,22.8,26.8,98,67,0.7,10.8,Kalutara,2024
2/3/2024,30.0,23.8,27.0,98,72,1.6,11.1,Kalutara,2024
2/4/2024,30.6,23.6,26.4,98,69,1.9,11.2,Kalutara,2024
2/5/2024,30.1,23.6,25.9,99,74,3.2,12.5,Kalutara,2024
2/6/2024,30.5,22.5,26.5,99,70,0.0,14.6,Kalutara,2024
2/7/2024,30.6,23.4,26.9,95,62,0.0,14.2,Kalutara,2024
2/8/2024,29.3,22.5,26.1,97,70,0.0,11.6,Kalutara,2024
2/9/2024,30.5,23.0,26.8,96,61,0.0,13.3,Kalutara,2024
2/10/2024,30.9,23.2,27.2,96,59,0.7,8.5,Kalutara,2024
