tapping_id,farmer_id,district,tapping_date,tapping_time,tapping_hour,tapping_minute,collection_time,collection_gap_hours,storage_duration_hours,latex_quantity_kg,ammonia_added,ammonia_amount_ml,container_type,experience
T08644,F0007,Kalutara,2024-01-01,6:38,6,38,9:14,2.6,6.4,2.67,True,9.1,Closed Container,3 - 5 years
T04510,F0212,Kalutara,2024-01-01,5:13,5,13,7:55,2.7,2.8,4.41,True,5.2,Closed Container,5 - 10 years
T02988,F0286,Kalutara,2024-01-01,6:43,6,43,8:55,2.2,5.2,2.01,True,7.4,Closed Container,5 - 10 years
T01605,F0637,Ratnapura,2024-01-01,7:28,7,28,10:45,3.3,5.8,1.2,True,4.5,Closed Container,3 - 5 years
T01623,F0470,Kegalle,2024-01-01,6:51,6,51,8:33,1.7,1.4,1.93,True,5.8,Open Container,More than 10 years
T04396,F0531,Kegalle,2024-01-01,9:07,9,7,16:07,7.0,12.9,0.32,False,0.0,Bucket,Less than 1 year
T09584,F0050,Kalutara,2024-01-01,6:12,6,12,7:42,1.5,1.1,2.88,True,6.1,Closed Container,More than 10 years
T04526,F0794,Galle,2024-01-01,10:31,10,31,16:01,5.5,11.9,0.31,False,0.0,Bucket,Less than 1 year
T04626,F0004,Kalutara,2024-01-01,7:25,7,25,10:18,2.9,3.2,5.61,True,6.3,Bucket,5 - 10 years
T06221,F0471,Kegalle,2024-01-01,8:44,8,44,11:14,2.5,3.6,1.34,False,0.0,Closed Container,3 - 5 years
T01860,F0570,Ratnapura,2024-01-01,7:07,7,7,9:24,2.3,3.7,5.2,True,6.3,Closed Container,5 - 10 years
T08638,F0793,Galle,2024-01-02,5:36,5,36,8:18,2.7,3.1,7.17,True,9.5,Closed Container,More than 10 years
T06442,F0956,Kandy,2024-01-02,5:49,5,49,8:19,2.5,2.7,3.27,True,7.9,Closed Container,More than 10 years
T07000,F0283,Kalutara,2024-01-02,6:58,6,58,9:51,2.9,2.9,5.91,True,3.7,Closed Container,More than 10 years
T03125,F0616,Ratnapura,2024-01-02,5:33,5,33,8:26,2.9,4.2,1.7,True,6.6,Closed Container,3 - 5 years
T01504,F0515,Kegalle,2024-01-02,4:00,4,0,6:30,2.5,3.2,3.67,True,3.5,Closed Container,5 - 10 years
T04903,F0663,Ratnapura,2024-01-02,5:00,5,0,10:30,5.5,6.4,0.89,False,0.0,Bucket,1 - 3 years
T07466,F0269,Kalutara,2024-01-02,7:39,7,39,11:39,4.0,6.1,1.72,True,6.5,Bucket,3 - 5 years
